Date,Close/Last,Volume,Open,High,Low
11/25/2025,2933.01,N/A,2938.05,2981.49,2921.38
11/24/2025,2936.32,N/A,2825.29,2953.45,2904.69
11/23/2025,2797.25,N/A,2756.13,2851.12,2768.39
11/22/2025,2827.97,N/A,2746.36,2851.12,2768.39
11/21/2025,2738.50,N/A,2818.29,2784.10,2727.27
11/20/2025,2806.31,N/A,3054.55,2885.37,2776.57
11/19/2025,3038.78,N/A,3049.91,3056.92,3007.44
11/18/2025,3060.14,N/A,3006.83,3125.00,3057.04
11/17/2025,2969.18,N/A,3184.79,3047.70,2953.39
11/16/2025,3222.28,N/A,3153.07,3224.94,3134.07
11/14/2025,3203.97,N/A,3523.37,3251.49,3114.64
11/13/2025,3213.22,N/A,3483.38,3251.49,3188.71
11/12/2025,3466.19,N/A,3445.05,3486.09,3387.78
11/11/2025,3439.47,N/A,3574.52,3455.72,3411.10
11/10/2025,3578.39,N/A,3617.71,3645.25,3554.15
11/09/2025,3618.62,N/A,3374.55,3657.37,3557.15
11/08/2025,3398.29,N/A,3446.47,3477.92,3357.06
11/07/2025,3470.70,N/A,3338.70,3477.92,3411.30
11/06/2025,3332.58,N/A,3453.66,3364.32,3278.24
11/05/2025,3453.83,N/A,3327.87,3454.88,3375.40
11/04/2025,3328.98,N/A,3625.87,3348.34,3168.99
11/03/2025,3626.00,N/A,3746.65,3653.53,3568.39
11/02/2025,3742.74,N/A,3908.76,3913.85,3717.31
11/01/2025,3855.11,N/A,3830.48,3868.84,3833.34
10/31/2025,3857.04,N/A,3803.00,3900.77,3796.50
10/30/2025,3828.44,N/A,3931.58,3858.85,3796.50
10/29/2025,3930.00,N/A,3997.50,3948.72,3886.62
10/28/2025,3997.60,N/A,4093.70,4007.40,3965.28
10/27/2025,4087.95,N/A,4204.65,4141.68,4073.42
10/26/2025,4203.23,N/A,3930.81,4224.31,4156.42
10/25/2025,3927.74,N/A,3921.87,3961.27,3922.17
10/24/2025,3925.65,N/A,3890.92,3937.61,3914.24
10/23/2025,3879.02,N/A,3825.79,3895.27,3847.03
10/22/2025,3827.69,N/A,3858.58,3834.75,3797.83
10/21/2025,3857.06,N/A,3922.79,3888.51,3824.16
10/20/2025,3926.29,N/A,4029.17,3985.78,3922.53
10/19/2025,4019.35,N/A,3905.91,4019.35,3909.40
10/18/2025,3898.52,N/A,3870.62,3906.34,3856.11
10/17/2025,3873.64,N/A,3933.42,3881.50,3821.16
10/16/2025,3929.49,N/A,4012.62,3950.32,3889.04
10/15/2025,4023.82,N/A,4080.87,4036.54,3976.48
10/14/2025,4081.00,N/A,4154.62,4143.59,4064.87
10/13/2025,4164.16,N/A,4141.50,4259.70,4141.06
10/12/2025,4133.46,N/A,3781.42,4208.04,4125.94
10/11/2025,3781.86,N/A,3792.60,3813.59,3695.86
10/10/2025,3781.95,N/A,4351.49,3876.45,3731.87
10/09/2025,4371.93,N/A,4450.34,4393.54,4347.29
10/08/2025,4451.59,N/A,4442.06,4531.11,4404.96
10/07/2025,4447.84,N/A,4689.63,4498.18,4434.48
10/06/2025,4691.06,N/A,4537.05,4697.88,4666.09
10/05/2025,4532.12,N/A,4532.66,4550.40,4489.90
10/04/2025,4548.64,N/A,4486.90,4571.20,4470.43
10/03/2025,4481.76,N/A,4500.41,4516.47,4465.76
10/02/2025,4525.08,N/A,4376.35,4552.97,4462.06
10/01/2025,4383.03,N/A,4128.32,4398.93,4332.89
09/30/2025,4132.37,N/A,4198.85,4173.78,4124.59
09/29/2025,4201.41,N/A,4121.05,4234.27,4189.31
09/28/2025,4115.69,N/A,4002.80,4144.70,4103.99
09/27/2025,4011.85,N/A,4020.56,4037.23,3973.63
09/26/2025,4021.37,N/A,3965.22,4032.25,4008.79
09/25/2025,3956.85,N/A,4061.86,3970.18,3869.64
09/24/2025,4047.78,N/A,4147.96,4161.01,4027.27
09/23/2025,4145.47,N/A,4188.00,4194.40,4130.10
09/22/2025,4194.74,N/A,4305.12,4211.27,4120.28
09/21/2025,4303.52,N/A,4478.19,4455.07,4280.81
09/20/2025,4477.43,N/A,4465.55,4489.96,4458.28
09/19/2025,4466.51,N/A,4549.25,4475.61,4454.92
09/18/2025,4551.05,N/A,4615.96,4620.57,4545.30
09/17/2025,4616.90,N/A,4497.17,4643.15,4580.45
09/16/2025,4501.75,N/A,4521.01,4551.83,4494.16
09/15/2025,4525.89,N/A,4636.42,4536.75,4506.08
09/14/2025,4633.92,N/A,4663.16,4636.29,4580.77
09/13/2025,4659.13,N/A,4649.74,4764.88,4606.47
09/12/2025,4764.88,N/A,4505.91,4764.88,4692.82
09/11/2025,4503.08,N/A,4405.17,4534.56,4451.40
09/10/2025,4396.71,N/A,4319.79,4397.36,4338.89
09/09/2025,4351.54,N/A,4328.73,4381.56,4277.48
09/08/2025,4303.26,N/A,4311.80,4314.46,4277.48
09/07/2025,4317.57,N/A,4297.36,4330.07,4279.38
09/06/2025,4293.64,N/A,4322.87,4303.28,4271.64
09/05/2025,4319.89,N/A,4329.35,4327.84,4303.05
09/04/2025,4327.24,N/A,4397.57,4334.58,4292.00
09/03/2025,4397.25,N/A,4336.01,4481.61,4389.94
09/02/2025,4335.18,N/A,4367.03,4353.20,4283.52
09/01/2025,4373.77,N/A,4406.08,4393.92,4291.71
08/31/2025,4391.63,N/A,4483.65,4430.37,4364.77
08/30/2025,4469.94,N/A,4352.51,4469.94,4373.73
08/29/2025,4354.74,N/A,4491.42,4380.93,4260.87
08/28/2025,4498.92,N/A,4541.66,4513.67,4436.53
08/27/2025,4535.35,N/A,4606.00,4546.13,4468.85
08/26/2025,4613.68,N/A,4400.83,4617.16,4540.72
08/25/2025,4402.20,N/A,4725.74,4450.86,4320.12
08/24/2025,4751.12,N/A,4789.97,4796.61,4671.43
08/23/2025,4782.35,N/A,4694.61,4817.13,4755.32
08/22/2025,4683.92,N/A,4278.28,4831.22,4663.42
08/21/2025,4269.15,N/A,4294.80,4314.39,4222.57
08/20/2025,4305.89,N/A,4141.63,4339.33,4278.71
08/19/2025,4138.35,N/A,4217.84,4158.29,4069.39
